episode,task,condition,model,status,strict_verdict,decisions,words,choices,observations,navigation_moves,browser_actions,annotation_valid,annotation_truncated,native_shortcuts,up_moves
t157-coarse-gemini-3.1-pro-preview,157,coarse,gemini-3.1-pro-preview,completed,success,9,905,39,9,6,2,True,False,0,0
t157-coarse-gemini-3.8-flash,157,coarse,gemini-3.8-flash,completed,success,9,947,42,9,6,2,True,False,0,0
t157-collections-gemini-3.1-pro-preview,157,collections,gemini-3.1-pro-preview,completed,success,9,1048,52,9,6,2,True,False,0,0
t157-collections-gemini-3.8-flash,157,collections,gemini-3.8-flash,completed,success,9,1027,49,9,6,2,True,False,0,0
t157-descriptive-gemini-3.1-pro-preview,157,descriptive,gemini-3.1-pro-preview,completed,failure,28,1802,62,28,27,0,True,False,0,10
t157-descriptive-gemini-3.8-flash,157,descriptive,gemini-3.8-flash,completed,success,8,1019,48,8,5,2,True,False,0,0
t157-purpose-gemini-3.1-pro-preview,157,purpose,gemini-3.1-pro-preview,completed,success,8,980,48,8,5,2,True,False,0,0
t157-purpose-gemini-3.8-flash,157,purpose,gemini-3.8-flash,completed,success,8,990,48,8,5,2,True,False,0,0
t157-source-gemini-3.1-pro-preview,157,source,gemini-3.1-pro-preview,completed,success,16,1369,51,16,13,2,True,False,2,0
t157-source-gemini-3.8-flash,157,source,gemini-3.8-flash,completed,success,6,892,39,6,3,2,True,False,2,0
t94-coarse-gemini-3.1-pro-preview,94,coarse,gemini-3.1-pro-preview,completed,success,18,2004,86,18,14,2,True,False,0,1
t94-coarse-gemini-3.8-flash,94,coarse,gemini-3.8-flash,completed,success,16,1843,79,16,13,2,True,False,0,1
t94-collections-gemini-3.1-pro-preview,94,collections,gemini-3.1-pro-preview,completed,success,15,1587,72,15,12,2,True,False,0,0
t94-collections-gemini-3.8-flash,94,collections,gemini-3.8-flash,completed,success,14,1583,72,14,11,2,True,False,0,0
t94-descriptive-gemini-3.1-pro-preview,94,descriptive,gemini-3.1-pro-preview,completed,success,22,2251,95,22,19,2,True,False,0,4
t94-descriptive-gemini-3.8-flash,94,descriptive,gemini-3.8-flash,completed,success,16,1883,81,16,13,2,True,False,1,0
t94-purpose-gemini-3.1-pro-preview,94,purpose,gemini-3.1-pro-preview,completed,success,15,1578,69,15,12,2,True,False,0,0
t94-purpose-gemini-3.8-flash,94,purpose,gemini-3.8-flash,completed,success,14,1585,72,14,11,2,True,False,0,0
t94-source-gemini-3.1-pro-preview,94,source,gemini-3.1-pro-preview,step_budget,unavailable,28,2176,76,29,26,2,True,False,0,0
t94-source-gemini-3.8-flash,94,source,gemini-3.8-flash,completed,failure,28,3051,120,28,24,3,True,False,6,1
